image_na,image_sha,platform,model,inference_ms,fps,cpu_percent,mem_percent,rss_mb,detections,avg_confidence,preprocess_ms,postprocess_ms
photo_20250811_184101.jpg,75e4b506ba0dde35a31813ba5bebc648819b62d3,Raspbery pi +Hailo Hat,yolov8s,767.7009,1.3026,0,1.6,515.6,3,0.732963,9.0764,2.5185
photo_20250811_184131.jpg,a0ec4cc1a69836caed6fdeb05c4e52b51144c78cc9740dc4e6cb7a354741f002,Raspbery pi +Hailo Hat,yolov8s,189.3282,5.2818,0,1.6,506.8,2,0.693978,4.0672,1.4823
photo_20250811_184200.jpg,d34fed17ee4888e519f4933a8f5f45c8963196fe,Raspbery pi +Hailo Hat,yolov8s,167.5043,5.97,0,1.6,508.8,5,0.709962,6.4686,1.6422
photo_20250812_151909.jpg,232234d117ad3603003fd0fd8fdfc7fc7a220d69,Raspbery pi +Hailo Hat,yolov8s,167.6644,5.9643,0,1.6,509.8,7,0.593228,7.6202,1.4356
photo_20250812_151936.jpg,f05870bc4680fa723640cdf0a7ce1253909e55d6,Raspbery pi +Hailo Hat,yolov8s,179.3051,5.5771,0,1.6,511.8,7,0.675279,7.6174,0.9798
photo_20250812_152005.jpg,157de765e75ca7f4510dc5d2e7695dd80a246c13,Raspbery pi +Hailo Hat,yolov8s,435.32,2.2972,0,1.6,511.8,5,0.838564,23.1421,3.7032
photo_20250812_152035.jpg,3d4a9fcc36e773cf2d3a15aa344153a934a7d6f0c29b71f273e92b353bf3dda8,Raspbery pi +Hailo Hat,yolov8s,166.8653,5.9929,0,1.6,511.9,7,0.830282,8.5849,1.385
photo_20250812_152105.jpg,986a78c95d2e8d0c1b664479b930de7ac5b7e76a,Raspbery pi +Hailo Hat,yolov8s,283.631,3.5257,0,1.6,511.9,5,0.834477,6.638,3.2719
photo_20250806_014558.jpg,344b4927c2c974c524e077efbbb230549b21678a,LocalCPU,YOLOv8,92.1528,10.8515,0,56.5,555.9,1,0.485851,0,0
photo_20250806_014558.jpg,344b4927c2c974c524e077efbbb230549b21678a,LocalCPU,YOLOv8,103.7133,9.642,0,56.6,556.3,1,0.485851,0,0
photo_20250806_014558.jpg,344b4927c2c974c524e077efbbb230549b21678a,LocalCPU,YOLOv8,97.7664,10.2285,0,56.5,557.3,1,0.485851,0,0
photo_20250806_014558.jpg,344b4927c2c974c524e077efbbb230549b21678a,LocalCPU,YOLOv8,94.1958,10.6162,0,56.5,557.3,1,0.485851,0,0
photo_20250811_184200.jpg,d34fed17ee4888e519f4933a8f5f45c8963196fe,LocalCPU,YOLOv3-Tiny,129.4689,7.7239,0,56.5,531.1,2,0.552177,0,0
photo_20250811_184030.jpg,206580cdc306a911e0fe5ffde919c6ada4304872,LocalCPU,YOLOv8,116.2162,8.6047,0,54.2,564.3,5,0.34241,,
photo_20250811_184101.jpg,75e4b506ba0dde35a31813ba5bebc648819b62d3,LocalCPU,YOLOv8,124.9754,8.0016,0,54.4,564.4,3,0.690154,,
photo_20250811_184200.jpg,d34fed17ee4888e519f4933a8f5f45c8963196fe,LocalCPU,YOLOv8,117.703,8.496,0,54.3,565.5,6,0.40589,,
photo_20250812_151909.jpg,232234d117ad3603003fd0fd8fdfc7fc7a220d69,LocalCPU,YOLOv8,114.7754,8.7127,0,54.4,565.4,4,0.359317,,
photo_20250812_151936.jpg,f05870bc4680fa723640cdf0a7ce1253909e55d6,LocalCPU,YOLOv8,107.8234,9.2744,0,54.4,566.5,9,0.598412,,
photo_20250812_152005.jpg,157de765e75ca7f4510dc5d2e7695dd80a246c13,LocalCPU,YOLOv8,127.311,7.8548,0,54.7,566.6,5,0.73536,,
photo_20250812_152105.jpg,986a78c95d2e8d0c1b664479b930de7ac5b7e76a,LocalCPU,YOLOv8,120.7907,8.2788,0,54.7,566.6,5,0.571855,,
